lg.wing,lg.mass,day,week,season,location,species,ring,age,wing,size,weight,fat,fat.2,muscle,e,wp,X2,wp.pc,wp.p2,wp.t3,tail,tarsus,thl,time,lg.wing,lg.mass,SMI,SMI.2,well,sample.mass,d2H,distance,musc,temp,humidity,pressure,speed,direction1,direction2,radians,SMI.N,Condition,pointy,SMI.tars
3.988984047,1.960094784,277,1,Early,nan,yebwa,kjk500,3,54,small,7.1,3,Medium,2,6,4,7.5,32.1,5.1,11.6,36,16.7,23.3,12:40,3.988984,2.564949,28.37493,28.37492952,B2,0.242,-123.5290593,low,m2,12.7,83,1025.6,6.35,270,w,4.71239,7.851328262,high,0.12037037,9.195920733
3.970291914,1.902107526,277,1,Early,nan,yebwa,kdy740,3,53,small,6.7,3,Medium,2,6,4,8,30.5,3.8,11.9,36,16.7,25.8,10:08,3.970292,2.079442,27.06176,27.06176066,C8,0.226,-122.0369967,low,m2,12.7,83,1025.6,6.35,270,w,4.71239,7.839343532,high,0.152830189,8.677840692
4.025351691,1.931521412,277,1,Early,nan,yebwa,kdy739,3,56,med,6.9,4,Medium,2,6,4,8.5,31.8,5.8,12.4,41,17.1,24.6,10:10,4.025352,2.302585,9.30659,9.306594473,B6,0.284,-110.1347826,medium,m2,12.7,83,1025.6,6.35,270,w,4.71239,6.836396696,medium,0.117857143,8.489801262
4.025351691,1.945910149,277,1,Early,nan,yebwa,kdy741,3,56,med,7,3,Medium,2,6,4,7.5,32.5,6.3,12.4,39,18.5,25.6,10:20,4.025352,2.397895,10.23725,10.23725392,C4,0.242,-101.7534579,high,m2,12.7,83,1025.6,6.35,270,w,4.71239,6.935474909,medium,0.108928571,7.261836861
4.060443011,1.974081026,283,2,Early,nan,yebwa,kdy964,3,58,large,7.2,3,Medium,1,6,5,8,35,5.7,12.1,39,19.2,25.1,09:45,4.060443,2.639057,5.72414,5.724141859,A7,0.254,-109.434861,medium,m1,14.6,97,1016.7,7.018510556,243,wsw,4.241151,6.416206101,medium,0.110344828,6.891420786
3.988984047,1.824549292,283,2,Early,nan,yebwa,kpn025,3,54,small,6.2,3,Medium,1,6,5,7,33.4,5.7,14.8,36,18.2,24.6,12:30,3.988984,1.386294,8.73075,8.730747543,A12,0.289,-106.2450156,high,m1,14.6,97,1016.7,7.018510556,243,wsw,4.241151,6.856089468,medium,0.168518519,6.664002954
3.988984047,1.974081026,285,2,Early,nan,yebwa,kpn056,3,54,small,7.2,3,Medium,1,6,5,7,34.4,6.1,13.6,39,18.5,24,09:25,3.988984,2.639057,30.55762,30.5576164,A5,0.228,-97.3955001,high,m1,14.4,92,1019.8,5.54,220,sw,3.839725,7.96191035,high,0.138888889,7.469317914
4.007333185,2.091864062,285,2,Early,nan,yebwa,kpn069,3,55,med,8.1,3,Medium,2,6,5,7,35,6.1,12.7,37,18.3,23.6,09:40,4.007333,2.944439,26.97503,26.97502729,B1,0.217,-110.1714339,medium,m2,14.4,92,1019.8,5.54,220,sw,3.839725,8.474218047,high,0.12,8.603374193
4.077537444,2.054123734,285,2,Early,nan,yebwa,kpn096,3,59,large,7.8,2,Medium,3,6,5,7,35.7,5.9,14.6,36,19.4,24.9,09:55,4.077537,2.833213,4.65608,4.65607823,A11,0.23,-111.9472485,medium,m3,14.4,92,1019.8,5.54,220,sw,3.839725,6.601097504,medium,0.147457627,7.299831473
4.077537444,1.704748092,287,2,Early,cam,yebwa,jjc210,3,59,large,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,21,NA,16:00,4.077537,0,0.27389,0.273886955,C3,0.231,-121.7709792,low,NA,15.3,97,1021.9,6.21,184,s,3.211406,4.654620035,low,NA,4.334673031
