isotope	idnumber	ring	species	subspecies	rn	wp	two	wpp2	wppc	wpt3	wpss	tars	tail	bw	bd	bn	thl	age	moult	ogc	wing	weight	fat	muscle	ringer	time	date	jdate	month	nanjizal	period	condition	pointedness	t3p2	conditiontars
																																			
-64.1	37	KJK340	CHIFF	C	N	5	10	6.9	33.7	NA	NA	18.4	43	2.5	2.1	NA	NA	3	NA	NA	57	8.5	4	2	RJ	09:30	28/09/2017	1	S	Y	1	9.504	NA	NA	9.601196
-56.4	110	KJK351	CHIFF	C	N	5	9.5	6.9	34.9	NA	NA	19.3	46	2.6	2.1	NA	NA	3	P	5	61	NA	0	2	RJ	10:00	28/09/2017	1	S	Y	1	NA	NA	NA	NA
-54.6	66	KJK354	CHIFF	C	N	5	10	6.7	32.8	NA	NA	18.4	45	2.6	2.1	5.9	NA	3	P	4	56	7.2	0	3	RJ	10:45	28/09/2017	1	S	Y	1	8.357	NA	NA	8.132778
-58.2	69	KJK362	CHIFF	C	N	4.5	9	7.2	39.1	NA	NA	20	52	2.4	2	5.4	NA	3	P	NA	64	8.2	0	1	RJ	12:00	28/09/2017	1	S	Y	1	7.177	NA	NA	7.533485
-57.8	44	KJK394	CHIFF	C	N	4	8.5	6.1	32.9	11.6	NA	18.3	NA	2.6	2.1	6.3	27.4	3	P	9	58	7.1	1	1	RJ	08:30	30/09/2017	3	S	Y	1	7.652	0.0948	70.76	8.128846
-58.8	27	KJK401	CHIFF	C	N	NA	NA	7.9	35	12.1	NA	18.9	NA	2.5	2	6.1	27.1	3	P	5	NA	7.2	1	3	RJ	09:00	30/09/2017	3	S	Y	1	NA	NA	95.59	7.610061
-64	41	KJK413	CHIFF	C	N	4.5	9.5	7.8	36.3	15.9	NA	20.1	NA	2.4	2.1	5.9	27.6	3	O	7	63	8.5	2	1	RJ	10:30	30/09/2017	3	S	Y	1	7.691	0.1285	124.02	7.713190681
-58.5	70	KJK415	CHIFF	C	N	4	8	6.6	32.5	13.2	NA	17.8	NA	2.4	2	5.9	26.4	3	P	6	57	6.8	1	1	RJ	10:45	30/09/2017	3	S	Y	1	7.603	0.1157	87.12	8.338527362
-64.2	20	KJK426	CHIFF	C	N	4.5	8.5	7.1	35.9	11.7	11.1	19.5	48	2.2	2	5.8	25.9	3	O	4	61	8.9	4	2	RJ	11:20	02/10/2017	5	O	Y	1	8.622	0.0754	83.07	8.705942216
-58.4	97	KJK258	CHIFF	C	R	3.5	8.5	6.1	36.8	12.1	10.9	18.6	46	2.4	2.2	5.8	27.4	3	O	0	61	6.8	1	1	RJ	11:30	02/10/2017	5	O	Y	1	6.587	0.0983	73.81	7.477940867
-59.7	33	KDY602	CHIFF	C	R	4.5	10.5	7.4	34	12.2	12.1	19.1	46	2.5	2	5.8	27.9	3	O	7	60	7.2	2	1	RJ	12:00	02/10/2017	5	O	Y	1	7.223	0.08	90.28	7.414143815
-70.5	84	KJK462	CHIFF	C	N	4.5	9	8.1	37.2	11.6	12.8	19.4	47	2.4	2.2	6.2	27.6	3	P	9	62	8	1	1	RJ	12:10	03/10/2017	6	O	Y	1	7.488	0.0564	93.96	7.925893978
-68.9	52	KDY817	CHIFF	C	N	4	8.5	6.9	36	11.2	11.2	18.8	47	2.5	2.1	7.1	27.5	3	P	4	62	8.1	1	2	RJ	11:10	06/10/2017	9	O	Y	1	7.581	0.0693	77.28	8.674596231
-56.7	2	KDY824	CHIFF	C	N	4.5	10.5	7.6	33.1	10.5	NA	18.1	44	2.8	2.2	5.8	26	3	O	4	57	7	2	2	RJ	11:50	06/10/2017	9	O	Y	1	7.827	0.0508	79.8	8.235569477
-55.6	18	KDY834	CHIFF	C	N	4	9	7.8	34.2	11.3	10.5	18	NA	2.6	2.2	5.8	26.1	3	P	6	58	7.5	2	1	RJ	13:45	06/10/2017	9	O	Y	1	8.083	0.0603	88.14	8.945785329
-61.4	106	JKY380	CHIFF	C	N	4.5	7.5	5.3	36.4	11.2	11.6	20.2	46	2.6	2.2	6.5	27.7	4	E	NA	63	8.2	2	1	RJ	11:50	08/10/2017	11	O	N	2	7.42	0.0936	59.36	7.350022919
-58.2	102	JKY399	CHIFF	C	N	4.5	8.5	6.5	36	11.2	NA	18.8	47	2.5	1.9	5.5	26	3	O	4	60	8.9	5	2	RJ	15:30	09/10/2017	12	O	N	2	8.928	0.0783	72.8	9.531346476
-61.4	91	JKY402	CHIFF	C	N	4.5	8	6.7	35.8	11.2	NA	20.2	49	2.4	2	5.5	26.9	3	P	4	62	9	2	1	RJ	16:00	09/10/2017	12	O	N	2	8.424	0.0725	75.04	8.067098326
-58.4	96	KDY923	CHIFF	C	N	4	8.5	6.2	36.3	11	NA	20.1	47	2.3	2	6.7	28.1	3	O	5	61	9	3	1	RJ	08:20	10/10/2017	13	O	Y	2	8.719	0.0786	68.2	8.166907779
-55.7	21	KDY936	CHIFF	C	N	4	8	6.4	37.1	13.7	NA	20.3	50	2.4	2	7.1	28.4	3	O	4	64	8.2	3	1	RJ	08:30	10/10/2017	13	O	Y	2	7.177	0.114	87.68	7.260637662
-53.6	38	KDY968	CHIFF	C	N	4.5	9.5	8.8	34.8	12.4	NA	19.2	46	2.5	2.2	6.6	28	3	O	4	58	8.1	4	1	RJ	09:45	10/10/2017	13	O	Y	2	8.73	0.062	109.12	8.233687106
-59.1	11	KDY745	CHIFF	C	R	4.5	7.5	6.6	34.8	10.8	NA	19.3	49	2.4	2.2	6.2	27.4	3	O	5	60	7.8	2	1	RJ	11:00	10/10/2017	13	O	Y	2	7.825	0.07	71.28	7.827335769
